Имя пользователя,Дата комментария,Текст комментария,Дата ответа,Текст ответа,Оценка,Статус
rahymzhanovna ✨✨,2024-08-28,жақсы қарайды іші таза,2024-08-28,"Құрметті Aizat Kydyrali,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Бізд…",5,1
Эльвира Лобзанова,2024-08-28,"Спасибо гинекологу Алие Мукаметкалиевне, очень внимательный врач. Так как мне 29, она не задавала мне бестактных вопросов, вежлива и внимательна. Большое спасибо за профессионализм ♡♡♡♡",2024-08-28,"Уважаемая Эльвира Лобзанова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Алия Жакашбаева,2024-08-28,Очень благодарна хирургу Пак Денис Георгиевич. Классный специалист.,2024-08-28,"Уважаемая Алия Жакашбаева,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень р…",5,1
Liliya C,2024-08-27,"Благодарю ресепшн, ребят с рентген-кабинета за четкое и качественно быстрое оказание помощи. Самый лучший травматолог-ортопед Алиев Исмаил. Врач от Бога. Низкий вам поклон. Приехали с ребенком, с переломом. Осмотр, гипс, консультация - всё понятно, профессионально, качественно и быстро!!!!",2024-08-27,"Уважаемая Liliya C

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что…",5,1
А А,2024-08-27,"208 кабинетте Маржан Амантевна узистты не рекомендую, опыт жок. Сұраққа жауап жоқ.",2024-08-27,"Құрметті А А,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізді ақтамағаны үшін…",1,0
Жансая Таныркул,2024-08-27,"Лорда болдык! Бала тунде демалалмайды! 5 кун антибиотик жазып берди! Мурынга спрейлер! Ешкандайда комек
Бермеди! Бекерге баланы кинап!",2024-08-27,"Құрметті Жансая Таныркул,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізді ақтамағаны үшін шын жүректен өкінеміз. Біз кері байланысты өте бағалаймыз және пациенттеріміздің ең жоғары деңгейде күтім алуын қамтамасыз етуге әрқашан тырысамыз.

Пікіріңіз егжей-тегжейлі талдау үшін емхана әкімшілігіне жіберіледі.
Мәселеңізді жақсырақ түсініп, жағдайды түзете алуымыз үшін байланыс нөміріңізді және аты-жөніңізді қалдырсаңыз, көмегіңіз үшін алдын ала рахмет.
Құрметпен, емхана әкімшісі.",1,0
Зульфия Кожабаева,2024-08-26,"Осыдан 1апта бұрын эмир медке врач Исатаева Нуризат Абдинуровнаға консультациясына кірдім. Өзі жақсы кісі екен адамға жағымды мейірімді уайымшыл,бөтен кісі болсада жағдайыңды сұрап біліп отырады. Ондайды қәзір туысыңнанда күтпейсің. Рахмет сізге Нуризат ханым!",2024-08-26,"Құрметті Зульфия Кожабаева,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Біз…",5,1
A17 Zh,2024-08-26,Оператор Дастан не отвечает на сообщения. Позор!!!,2024-08-26,"Уважаемый A17 Zh,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправ…",1,0
Ирина .,2024-08-26,"Выражаю огромную благодарность врачу-педиатору Оразовой Макпал! Профессионал своего дела, очень грамотный специалист.",2024-08-26,"Уважаемая Ирина,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что п…",5,1
Назерке Милисова,2024-08-26,"маммолог, Нуризат Абдинуровнаға алғысымды білдіремін! білікті маман, аурудың себептерін түсіндіріп, ем тағайындап берді. приемға барғаныма өкінбеймін!",2024-08-26,"Құрметті Назерке Милисова,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Бізд…",5,1
Medet Baitursynuly,2024-08-26,"очень хорошая клиника, приятные работники, очень доброжелательные!

отдельную благодарность выражаю врачу - дерматологу Маратқызы Балдана!!!

хочу выразить вам свою огромную благодарность за колоссальную помощь, за отзывчивость, за качественное лечение, за врачебную этику и за профессионализм в своем деле.
а так же за ваши старание, терпиливое и внимательное отношение к пациентам, за тёплый приём, и за чёткую консультацию.

очень замечательный человек, добрый, отзывчивый и умеющий сострадать людям, прекрасный специалист, хорошо знающий свое дело.

вы талантливый врач от бога с золотыми руками и горячим сердцем.
быть врачом - это ваше призвание!

желаю вам здоровья, благополучия и успехов в вашем нелегком и благородном деле.
желаю множество благодарных пациентов.",2024-08-26,"Уважаемый Medet Baitursynuly,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очен…",5,1
Мейргуль Садуакасова,2024-08-25,"Маммолог дәрігер Байкенже Бибигуль Сериковнаға алғысымды білдіргім келеді! Өз жұмысына жуапкершілікпен қарайтын мықты дәрігер. Жағдайыңды егжей тегжейлі саралап, бақылап барлығын жүйелеп түсіндіреді! Ең бірінші Алланың екінші осы дәрігердің көмегімен жақсымын!",2024-08-25,"Құрметті Мейргуль Садуакасова,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет…",5,1
Dana,2024-08-25,"Сәлеметсіздер ме! 10.08.2024 күні қатты ауырып, пульмонологқа бардым. Рентген түскенде, маған бронхит деп қойды. Бірақ пульмонолог берген емнің ешқайсысы көмектеспеді!!! 9 күн температура болды. Қатты жөтел. 2,5 аптадан соң КТ түскенде, сізде о бастан бері пневмония болған деді. Осымен екінші рет қате диагноз қойғаны. Былтыр ұлымды пневмония деп берген. Бірақ бронхит болып шықты. Рентгенолог пен пульмонолог снимканы оқи алмайды деген сөз!!! Басы-аяғы жоқ АНАЛИЗ тапсырта бересіздер!!! АҚШАҒА ЕМЕС, АДАМДЫҚҚА ЖҰМЫС ЖАСАҢЫЗДАР!!! АСТАРЫҢЫЗ АДАЛЫНАН БОЛСЫН!",2024-08-25,"Құрметті Dana,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізді ақтамағаны үшін…",1,0
Amina Zhetpisbayeva,2024-08-25,"Некомпетентные врачи, не посещайте данную клинику при серьезных случаях, здесь можно получить только справки. Бизнес и никакой медицины. Осторожно, опасно для жизни",2024-08-25,"Уважаемая Amina Zhetpisbayeva,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей кли…",1,0
Балжан Абдалиева,2024-08-24,"Ужасние клиника анализге ускорениеға тағыда ақша қосылады, онсызда бағалары қымбат анализдердің .Басқа клиникаға барсаң дешевле анализы и ускоренияға ақшада қосылмайды .",2024-08-24,"Уважаемая Балжан Абдалиева,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клиник…",1,0
Aruzhan Zhaksylykkyzy,2024-08-24,"Обслуживание оставляет желать лучшего. Пытаются только деньги делать на анализах. Лишь бы плати. Не дожидаясь результатов анализов готовы прописать назначение. Если это так, то, зачем тогда сдавать анализы???",2024-08-24,"Уважаемая Aruzhan Zhaksylykkyzy,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей к…",1,0
Асем Киргабакова,2024-08-24,"Эти 5 звезд хочу адресовать дерматологу Джусанбаевой Асель Сагатовне. Очень бережно и кропотливо относится к пациентам, грамотно назначает лечение, спасибо за неравнодушие Асель Сагатовна 🫶",2024-08-24,"Уважаемая Асем Киргабакова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Alua .,2024-08-24,"была здесь в начале июня, гастроэнтерологу свою проблему полностью описала, и она тупо направила меня сдать анализы на то, с чем желудок даже не связан, 30К на ветер. в другой поликлинике выявили проблему сразу же.",2024-08-24,"Уважаемая Alua,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправда…",1,0
Azamat M,2024-08-24,"Нет интернета, Wi-Fi не работают. Оплату невозможно проводить",2024-08-24,"Уважаемый Azamat M ,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оп…",1,0
Амина Маханбетова,2024-08-24,Врач Дерматолог Балдана Мараткызы очень квалифицированный врач! Очень трепетно относится к ребенку и ответственно к работе! Нам понравилось что она нашла подход к ребенку! И ее рекомендации помогли вылечить нашу сыпь. Огромная благодарность😍 всем рекомендую ее👍🏻,2024-08-24,"Уважаемая Амина Маханбетова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Marlen Abdilda,2024-08-24,"7 мың төлеп дерматолог-Жусанбаева Асель деген врачқа түстік. Дұрыстап еш нәрсе айтқан жоқ. Бізді қабылдап отырып телефонмен сөйлесті , смс жазысып отырды. За то келесі приемға келуімізді және де сол жерден анализ тапсыруымызды қайта қайта айтты.",2024-08-24,"Құрметті Marlen Abdilda,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізді ақтам…",1,0
Айнур Казиакпарова,2024-08-24,"Исатаева Нуризат Абдинуровна,өте білімді,керемет врач екеніне көзім жетті. Егер сіздерге маммолог керек болса осы докторға баруларыңызға болады. Жақында қабылдауында болдым,жан жақты жақсы қарайды,барлығын түсіндіріп,алдын алу жолдарын айтады екенн.",2024-08-24,"Құрметті Айнур Казиакпарова,

Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Б…",5,1
Альмира Надырова,2024-08-23,"Хочу выразить огромную благодарность врачу- маммологу Нуризат Абдинуровне за профессионализм, доброту и отзывчивость. Была у нее на приеме, осталась довольна, все грамотно разъяснила, прониклась моим состоянием, поддержала и помогла; а после еще спрашивала про мое самочувствие. Очень ей благодарна, спасибо большое.",2024-08-23,"Уважаемая Альмира Надырова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",4,1
Asem Rakhmetzhanova,2024-08-22,"Сбоева Вероника , очень приятная девушка☺️💗💗 пришла к ней на прием сегодня , проконсультировалась . Спасибо за решение моего диагноза ,всего вам хорошего",2024-08-22,"Уважаемая Asem Rakhmetzhanova,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Икабот Крейн,2024-08-22,Дорого. Но цены в начале не договаривают,2024-08-22,"Уважаемый Икабот Крейн ,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике н…",3,0
Жайнар Айтжанова,2024-08-22,"Адам емдау үшін емес ақша алу мен жүргендер,ақшасын толем болды баскасы бұлларға қызық емес!!!!!!!!",2024-08-22,"Құрметті Жайнар Айтжанова,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізді ақт…",1,0
Куралай Куралбекова,2024-08-22,"Сходили к гастроэнтерологу Санат С.
Даже не делал осмотр , просидели 5 мин и вышли, без назначения и помощи, 7 тыс на ветер.как он может писать про сердце если он даже не смотрел?!рот не проверял, грудь не проверял, прошу вернуть деньги !",2024-08-22,"Уважаемая Куралай Куралбекова,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей кли…",2,0
Султан Сулейман,2024-08-22,"Медцентр очень хороший и чистый , Врачи профи , особенно узист Доктор Мухтар , знает своё дело очень хорошо",2024-08-22,"Уважаемый Султан Сулейман,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень р…",5,1
Alimberdi Seisenbek,2024-08-22,Нуризат Абдинуровнаға үлкен рахмет білімді маммолог. Честно әйелімнің денсаулығына алаңдап осы кісінің қабылдауында болдық бәрін түсіндірді жағдайын сұрап тұрды Алла разы болсын. Әйелімнің жағдайы шүкір жақсы.,2024-08-22,"Құрметті Alimberdi Seisenbek,
Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Б…",5,1
Amina Samatova,2024-08-21,"Быстро сделали справку,врачи профессионалы👍🏻👍🏻",2024-08-21,"Уважаемая Amina Samatova,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень ра…",5,1
Akbota Akanova,2024-08-21,"Не компетентный персонал, из за ошибки девушки на ресепшене, пришлось 2 раза делать рентген, причем оплатить пришлось оба раза. Обращались в службу жалоб эмирмед, наобещали разобраться и донести до глав.врача, но на этом все!",2024-08-21,"Уважаемый Akbota Akanova,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике…",1,0
Алуа Оспанова,2024-08-21,"Нуризат Абдинуровна хороший врач,мне очень нравится.Хороший совет дает👍🏻",2024-08-21,"Уважаемая Алуа Оспанова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рад…",5,1
Балжан Найманова,2024-08-21,По рекомендации коллеги прошла консультацию у гинеколога Дуйсековой Айжан Аллабергенқызы. Очень грамотный специалист! Узист Жолдасова Элмира Сапарбаевна тоже все подробно объяснила! Огромная благодарность таким чутким врачам!,2024-08-21,"Уважаемая Балжан Найманова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Куралай Сериккызы,2024-08-21,"Врач Исатаева Нуризат Абдинуровна хороший врач. Как человек , как врач очень понравилась",2024-08-21,"Уважаемая Куралай Сериккызы,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Aibek 111,2024-08-21,Ужасно! Неквалифицированные чпециалисты,2024-08-21,"Уважаемый Aibek 111,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оп…",1,0
Руслан P,2024-08-21,Очень хорошая клиника терапевт Оракбаев Санат очень классный,2024-08-21,"Уважаемый Руслан Р,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, чт…",5,1
Aylina Karassova,2024-08-21,"Я попала к чудесному врачу-маммологу Нуризат Абдинуровне. Она выявила причину моей боли в лимфоузлах. После операции на молочную железу, она также следила, чтобы восстановление прошло хорошо. Спасибо большое за прекрасно проделанную работу!",2024-08-21,"Уважаемая Aylina Karassova,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Apple User,2024-08-21,"Быстро качественно сделали справку 075, Оракбаев Санат хороший специалист своего дела 👍",2024-08-21,"Уважаемый Apple User,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады…",5,1
Аружан Багланкызы,2024-08-21,Джусанбаева Асель Сагатовна врач дерматолог профессионал своего дела! Мучались 20 лет с экземой куда только не обращались! Благодаря ей мы вылечили бабушку! Спасибо большое Асель Сагатовне,2024-08-21,"Уважаемая Аружан Багланкызы,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Мария Ильченко,2024-08-21,"Делала справку на работу у Оракбаева Саната Сериккаваевича все сделал быстро , очень дображелательные врачи , и улыбчивые , везде бы таких врачей",2024-08-21,"Уважаемая Мария Ильченко ,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень р…",5,1
Баскетбол Волейболов,2024-08-21,Оракбаев Санат Серикказиевич спица лист своего дела,2024-08-21,"Уважаемый Баскетбол Волейболов,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы оч…",5,1
Али Алией,2024-08-21,"Исатаева Нуризат Абдинуровна, был на приеме, все понравилось, отличный врач онколог, не в каждой больнице встретишь такого врача, главное что очень четко и ясно объясняет что важно для такого врача, в общем можно обращаться к такому специалисту.",2024-08-21,"Уважаемая Али Алией,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, ч…",5,1
Бакытгуль Абылкасымова,2024-08-21,"Всегда ходим в Эмирмед. Сервис очень хороший, анализы всегда быстро готовятся, врачи компетентные, в любое время отвечают на вопросы.",2024-08-21,"Уважаемая Бакытгуль Абылкасымова,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы…",5,1
Aiymzhan Saduova,2024-08-21,"Бүгін 075 справка жасатқам, Санат Серикказиевич пациенттермен сөйлесу білмейді! Сұраққа дұрыс жауап бермейді, ұрысып жатқандай, адамның сөзін бөліп жібереді. Шаршаған шығар дейін десем, таңертең 08:55 уақыт🤦🏻‍♀️ Не советую, 075 справканы басқа клиникаға жасатыңыздар!",2024-08-21,"Құрметті Aiymzhan Saduova,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізді ақт…",1,0
Llll Llll,2024-08-21,"Не рекомендую данный мед центр. Была у гинеколога Кенжебаева Шынар ее тоже не прорекомендовала бы. Сама врач сказала что анализы будет готовы 1 к 11 утра другой к 8 вечера. И в конце что, в конце на ватцап пишет время готовности 1-2 дня. Еслибы знала что так долго могла бы сделать в другом месте",2024-08-21,"Уважаемая Llll Llll,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оп…",1,0
Диии Ди,2024-08-20,"Была у врача Сарсен Феруза Апейкызы Врач не компетентная , не знает как обращаться с людьми, элементарно не здоровается! Зря потратила 7000 Сказала будет онлайн консультации! Но даже на сообщение не отвечает! Не советую!!! Она даже одной звезды не достойна!",2024-08-20,"Здравствуйте. Спасибо за отзыв. С целью выяснения всех обстоятельств просим уточнить:
- Вашу фамилию…",1,0
Brazhnikova Elena,2024-08-20,Очень «!?!.!» девочки на ресепшен которые работают в понедельник и вторник в дневное время! Не знают расписание врачей пришлось ездить 3 раза к конкретному врачу. Сделайте что то с сервисом на ресепшен! Глазами хлопает и ничего не понимает!,2024-08-20,"Уважаемая Brazhnikova Elena,

Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клини…",1,0
Gulvira Kadyrova,2024-08-20,"Очень удобно,то,что работают круглосуточно.Были у лор врача, грамотный и адекватный. Прописал, только то,что нужно и вылечил отит, гайморит без проколов",2024-08-20,"Уважаемая Gulvira Kadyrova,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень…",5,1
Newmebel Newmebel.almaty,2024-08-19,Оператор дұрыс адаммен сөйлесе алмайды,2024-08-19,"Құрметті Азамат Садуакасович,

Пікіріңізге рахмет. Біздің клиникадағы тәжірибеңіз сіздің үмітіңізд…",1,0
Anna Varney,2024-08-19,"17.08 или вернее 18.08 мне поздно ночью мое самочувствие на фоне имеющейся болезни стало хуже (время где- то было 23:40-00:00). Видя мое очень плачевное состояние, мать настояла сопроводить меня. Мне ""ультра повезло"" попасть к гинекологу Кенжебаевой Шынар Джайсанбековне . Как врач она допустила много нарушений : в самом начале, при сборе анамнеза, как речь дошла о моей личной половой жизни, я прошу мать выйти из кабинета. Именно я прошу, потому что врачу безразлично, что мне некомфортно говорить о таком в присутствии близкого родственника. Спойлер: потом она моей матери все равно вывалила пару фактов, и пофиг ей, что я разрешения не даю на это.
Стала спрашивать по половую жизнь : а вам нравится занимать доминирующую роль или пассивную? Аргументировала что ей интересно 🥳. Меня не скажу что это поставило врасплох, но врач из праздного любопытства никогда не должен задавать такие вопросы. Осмотрела грубо, очень болезненно. По итогу она многого не уточнила у меня из моего анамнеза (написала от себя, возраст первой менструации вообще не соответствует) . Указала что симптом Пастернацкого отрицателен (хотя у меня больные почки и практически всегда он положителен) . Температуру не измерила, хотя она у меня на приеме уже появилась.
Когда не смогла доходчиво несколько раз объяснить схему лечения, стала орать. Назначила 2 антибиотика ОДНОВРЕМЕННО в гигантских дозах на длительный период (видимо окончательно устроить Хиросиму моей микрофлоре) , вес мой не уточняла перед этим. Ну и когда не смогла аргументировать свое решение на 2 антибиотика , стала говорить моей матери что покажет новообразования (с ее слов ""болячки"", что за термины?! ). Я в этот момент сижу как третье лицо, офигиваю, что меня опять не спрашивают, хочу ли я этого",2024-08-19,"Добрый день!
Выражаем благодарность за предоставленную обратную связь и оценку работы нашей клиники…",1,0
Dilira Amanelova,2024-08-19,Ужасный !!! За прием оставила 5000 тгничего не сказал толком даже не посмотрел отправил на КТ то в этом отделе нету его и сказал след прием будет платным просто деньги на ветер !!!,2024-08-19,"Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал ожиданий. Мы оч…",1,0
Татьяна Паламарчук,2024-08-18,"Жолдасова Элмира Сапарбаевна делала узи мне,очень трепетно и заботливо относится,второй раз у нее на приеме",2024-08-18,"Уважаемый Татьяна Паламарчук,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очен…",5,1
Sberid User,2024-08-18,"Очень Благодарна врачу хирургу Сбоевой Веронике Юрьевне, специалист своего дела,Врач с добрым и отличным подходом к пациенту😍что очень тяжело в нынешнее время найти
Удачи вам и процветания",2024-08-18,"Уважаемый Sberid Use,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, что посещение нашей клиники оставило у вас положительные впечатления. Ваш отзыв вдохновляет нашу команду и помогает нам продолжать работать на высоком уровне.

Если у вас возникнут вопросы или потребуется дополнительная консультация, пожалуйста, не стесняйтесь обращаться к нам. Мы всегда рады вам!
С уважением, администратор Клиники.",5,1
Niya Dulatova,2024-08-18,"Все делают быстро и качественно. Но,один огромный минус в том,что к пациентам относятся как-то грубовато. Я чего то не поняла правильно и хотела переспросить,но мне накричал парень который сидел в кабинете рентгена. Затем на ресепшене девушка и парень сами по себе сидят,на вопросы отвечать не хотят,смотрят свысока и глаза кругом 🙄 Не могли бы немного быть помягче,мы не родились всезнайками,несложно отвечать на вопросы о клинике,вы на пациентах зарабатываете если что. Спуститесь с неба",2024-08-18,"Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал ожиданий. Мы оч…",3,0
Aliya Balatayeva,2024-08-17,"Лечилась у врача терапевта в июле, не помню как зовут. Некомпетентен. За три раза, что я к нему приходила, услышала 2 раза «ой,blya » и один раз поругалась, несмотря на то, что я не конфликтный человек. Отпустил меня с больничным без печатей. Это чисто случайно заметили на ресепшене.
Научите этого врача общаться с клиентами и нормально выполнять свою работу.",2024-08-17,"Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал ожиданий. Мы оч…",1,0
D *,2024-08-17,"Самый ужасный дерматолог ДЖУСАНБАЕВА АСЕЛЬ САГАТОВНА. ПРОСТО УЖАСНЫЙ!!!
Во-первых, грубый и некомпетентный врач.
Во-вторых, не проведя осмотр - сразу же называет стоимость своей услуги. А как же сначала спросить насчет жалоб пациента??? Выявить диагноз!
В-третьих, даже не выдала по итогу Консультативный лист!!! Где это видано? Где же диагноз, вид диагноза, акт выполненных работ наконец??!!! РАЗОЧАРОВАНИЕ ПОЛНЕЙШЕЕ, НЕ СОВЕТУЮ ДАННОГО ВРАЧА. БОЛЬШЕ НИ НОГОЙ!!!",2024-08-17,"Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал ожиданий. Мы оч…",1,0
Utetleyeva Zhulduz,2024-08-16,"Не правильно поставили диагноз, еще и скорую вызвали и за это 5000 тг взяли",2024-08-16,"Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал ожиданий. Мы оч…",1,0
Алуа Серик,2024-08-15,"Девушка которая ставит капельницу и делает забор крови по имени Карлыгаш очень красивая и шустрая,все процедуры быстро и безболезненно проходит.",2024-08-15,"Уважаемая Алуа Серик,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады…",5,1
гулшат,2024-08-15,ужааас на консультацию просят денги да еще не малое. еще грубая!,2024-08-15,"Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал ожиданий. Мы оч…",1,0
Игилик Куанышбек,2024-08-15,Заманбекова М.А жаксы жумысынызга рахмет,2024-08-15,"Құрметті Игилик Куанышбек,
Жылы лебіздеріңіз бен жұмысымызды жоғары бағалағандарыңызға рахмет! Бізд…",5,1
Nurdana Karymsakova,2024-08-15,"Почему сотрудники зная что по вечерам у них полно народу, в процедурном на смене только 1 медсестра??? Кушетки могу быть свободны а очередь в коридоре стоит. Одна медсестра явно физический не успевает, тем более в сезон вспышки вирусов!!!!!
Ждать очереди 40 минут, когда у тебя бронх астма, ты задыхаешься, а тебе тупо не могут поставить гормоны, потому что менеджмент клиники на дне!!!😡",2024-08-15,"Благодарим вас за отзыв. Нам искренне жаль, что ваш опыт в нашей клинике не оправдал ожиданий. Мы оч…",2,0
Гульнур 💓,2024-08-15,И врачи и в целом персонал приветливые и хорошие специалисты👍,2024-08-15,"Уважаемая Гульнур ,

Благодарим вас за теплые слова и высокую оценку нашего труда! Мы очень рады, чт…",5,1
Dariya Nurtas,2024-08-14,"Через док терапевт Тимур Омарбековичке жазылдым. 3500 тг. Барсам 5000 тг ге чек берип баскаааа врачка талон берди….. хорошо 👌
Оны озим айтып, врач аркылы ауыстырып алдым.
Кассадагы кыздардан врач кай кабинетте отырады деп сурасан, билмеймин деп жауап береди, неужели билмейди😄. Лестницалары слишком опасный⚠️ мен барганда бир апа кулап калды.
Адам коп, везде очередь. Как будто бесплатный поликлиникада журген сияктымыз. Анализ алган кыздар оздеримен оздери киналып жур. Короче по полному акша жасау!!!!!!
Ал врач Тимур Омарбекович карап, лечение берди улкен рахмет 👌",2024-08-14,"Добрый день!
Выражаем благодарность за предоставленную обратную связь и оценку работы нашей клиники…",2,0
Dana Negmetova,2024-08-13,"Девочки на ресепшене и врачи очень обходительные!
Спасибо Вам",2024-08-13,"Добрый день!
Выражаем благодарность за предоставленную обратную связь и оценку работы нашей клиники…",5,1
Гражданин Будущего,2024-08-13,"Девушка которая ставит уколы по имени Шахи отдельное спасибо, она ставила острые уколы словно как комарик, ничего не чувствуешь",2024-08-13,"Добрый день!
Выражаем благодарность за предоставленную обратную связь и оценку работы нашей клиники…",5,1
Жеткер Балтабай,2024-08-12,Замечательная клиника. Очень уютная и комфортная. Нет суеты(как во многих известных в городе клиниках) все по-доброму. Очень приятные администраторы и заботливые врачи. Чувствуешь себя как дома.,2024-08-12,"Добрый день!
Выражаем благодарность за предоставленную обратную связь и оценку работы нашей клиники…",5,1
Barbara Kiyash,2024-08-12,"Бүгін мени 210 кабинетте УЗИ тусирген докторга мың алғыс,биликти маман екенін,наукастарды дурыс карсалып,ауыртпай зерттеу жасаған үшін алғысым шексіз,даригер Эльмира Сапарбавнага сияқты мамандар көп болсын,сиздердин центр көп болсын",2024-08-12,"Қайырлы күн!
Пікіріңізбен клиникамызды бағалағаныңыз үшін алғысымызды білдіреміз.
Сіз үшін аянбай е…",5,1
Gulmira Sanakbai,2024-08-12,"Была на УЗИ органов малого таза у Жолдасовой Эльмиры Сапарбаевны . Очень внимательный врач. Выслушала мою проблему. Аккуратно всё посмотрела. Нашла те симптомы, которые не все врачи видели. Не буду подробно описывать ))) Но очень понравился этот врач. Пойду на УЗИ и других органов ней!",2024-08-12,"Добрый день!
Выражаем благодарность за предоставленную обратную связь и оценку работы нашей клиники…",5,1
